Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11356903,00000528,false,Rx,0,6,07,0C,01,00,00,00,00,00,
11396060,00000521,false,Rx,0,6,00,03,03,00,00,00,00,00,
11405162,00000525,false,Rx,0,6,04,0B,C3,00,00,00,00,00,
11554142,00000527,false,Rx,0,6,06,01,12,00,00,00,00,00,
11570519,00000526,false,Rx,0,6,05,06,04,00,00,00,00,00,
11713086,00000522,false,Rx,0,6,01,0D,E5,C1,05,00,00,00,
11725180,00000524,false,Rx,0,6,03,01,EB,FF,FF,FF,00,00,
11827832,00000523,false,Rx,0,6,02,07,E5,FF,FF,FF,00,00,
12007968,00000521,false,Rx,0,6,00,04,08,00,00,00,00,00,
12089507,00000525,false,Rx,0,6,04,0C,C2,00,00,00,00,00,
12095599,00000528,false,Rx,0,6,07,0D,01,00,00,00,00,00,
12272954,00000526,false,Rx,0,6,05,07,F8,FF,FF,FF,00,00,
12274737,00000527,false,Rx,0,6,06,02,12,00,00,00,00,00,
12343099,00000522,false,Rx,0,6,01,0E,DE,C1,05,00,00,00,
12391437,00000524,false,Rx,0,6,03,02,F0,FF,FF,FF,00,00,
12475962,00000523,false,Rx,0,6,02,08,ED,FF,FF,FF,00,00,
12619919,00000521,false,Rx,0,6,00,05,06,00,00,00,00,00,
12773880,00000525,false,Rx,0,6,04,0D,C2,00,00,00,00,00,
12834320,00000528,false,Rx,0,6,07,0E,01,00,00,00,00,00,
12973124,00000522,false,Rx,0,6,01,0F,D9,C1,05,00,00,00,
12975215,00000526,false,Rx,0,6,05,08,05,00,00,00,00,00,
12995342,00000527,false,Rx,0,6,06,03,12,00,00,00,00,00,
13057694,00000524,false,Rx,0,6,03,03,F8,FF,FF,FF,00,00,
13124106,00000523,false,Rx,0,6,02,09,ED,FF,FF,FF,00,00,
13231776,00000521,false,Rx,0,6,00,06,09,00,00,00,00,00,
13458258,00000525,false,Rx,0,6,04,0E,C2,00,00,00,00,00,
13573044,00000528,false,Rx,0,6,07,0F,01,00,00,00,00,00,
13603156,00000522,false,Rx,0,6,01,00,DD,C1,05,00,00,00,
13677783,00000526,false,Rx,0,6,05,09,08,00,00,00,00,00,
13715945,00000527,false,Rx,0,6,06,04,12,00,00,00,00,00,
13723935,00000524,false,Rx,0,6,03,04,F4,FF,FF,FF,00,00,
13772238,00000523,false,Rx,0,6,02,0A,F2,FF,FF,FF,00,00,
13844686,00000521,false,Rx,0,6,00,07,07,00,00,00,00,00,
14142625,00000525,false,Rx,0,6,04,0F,C2,00,00,00,00,00,
14233176,00000522,false,Rx,0,6,01,01,ED,C1,05,00,00,00,
14311763,00000528,false,Rx,0,6,07,00,01,00,00,00,00,00,
14380707,00000526,false,Rx,0,6,05,0A,06,00,00,00,00,00,
14390203,00000524,false,Rx,0,6,03,05,E9,FF,FF,FF,00,00,
14420398,00000523,false,Rx,0,6,02,0B,F1,FF,FF,FF,00,00,
14436554,00000527,false,Rx,0,6,06,05,12,00,00,00,00,00,
14456599,00000521,false,Rx,0,6,00,08,0C,00,00,00,00,00,
14827012,00000525,false,Rx,0,6,04,00,C2,00,00,00,00,00,
14863232,00000522,false,Rx,0,6,01,02,F2,C1,05,00,00,00,
15050479,00000528,false,Rx,0,6,07,01,01,00,00,00,00,00,
15056459,00000524,false,Rx,0,6,03,06,EB,FF,FF,FF,00,00,
15068554,00000521,false,Rx,0,6,00,09,08,00,00,00,00,00,
15068774,00000523,false,Rx,0,6,02,0C,F1,FF,FF,FF,00,00,
15082947,00000526,false,Rx,0,6,05,0B,01,00,00,00,00,00,
15157157,00000527,false,Rx,0,6,06,06,12,00,00,00,00,00,
15493232,00000522,false,Rx,0,6,01,03,F4,C1,05,00,00,00,
15511375,00000525,false,Rx,0,6,04,01,C2,00,00,00,00,00,
15680416,00000521,false,Rx,0,6,00,0A,08,00,00,00,00,00,
15716662,00000523,false,Rx,0,6,02,0D,EF,FF,FF,FF,00,00,
15722703,00000524,false,Rx,0,6,03,07,0A,00,00,00,00,00,
15785440,00000526,false,Rx,0,6,05,0C,0E,00,00,00,00,00,
15789196,00000528,false,Rx,0,6,07,02,01,00,00,00,00,00,
15877768,00000527,false,Rx,0,6,06,07,12,00,00,00,00,00,
16123259,00000522,false,Rx,0,6,01,04,E4,C1,05,00,00,00,
16195743,00000525,false,Rx,0,6,04,02,C2,00,00,00,00,00,
16292669,00000521,false,Rx,0,6,00,0B,06,00,00,00,00,00,
16364804,00000523,false,Rx,0,6,02,0E,E8,FF,FF,FF,00,00,
16388976,00000524,false,Rx,0,6,03,08,F7,FF,FF,FF,00,00,
16487880,00000526,false,Rx,0,6,05,0D,08,00,00,00,00,00,
16527920,00000528,false,Rx,0,6,07,03,01,00,00,00,00,00,
16598373,00000527,false,Rx,0,6,06,08,12,00,00,00,00,00,
16753278,00000522,false,Rx,0,6,01,05,E2,C1,05,00,00,00,
16880125,00000525,false,Rx,0,6,04,03,C2,00,00,00,00,00,
16904261,00000521,false,Rx,0,6,00,0C,05,00,00,00,00,00,
17012969,00000523,false,Rx,0,6,02,0F,E8,FF,FF,FF,00,00,
17055243,00000524,false,Rx,0,6,03,09,EC,FF,FF,FF,00,00,
17190415,00000526,false,Rx,0,6,05,0E,11,00,00,00,00,00,
17266679,00000528,false,Rx,0,6,07,04,01,00,00,00,00,00,
17319260,00000527,false,Rx,0,6,06,09,12,00,00,00,00,00,
17383330,00000522,false,Rx,0,6,01,06,E5,C1,05,00,00,00,
17395561,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17395812,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17396053,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17495557,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17495804,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17496052,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17516175,00000521,false,Rx,0,6,00,0D,0D,00,00,00,00,00,
17564528,00000525,false,Rx,0,6,04,04,C3,00,00,00,00,00,
17595555,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17595809,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17596050,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17661122,00000523,false,Rx,0,6,02,00,F9,FF,FF,FF,00,00,
17695554,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17695808,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17696050,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17721517,00000524,false,Rx,0,6,03,0A,F5,FF,FF,FF,00,00,
17795548,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17795808,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17796042,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17892675,00000526,false,Rx,0,6,05,0F,08,00,00,00,00,00,
17895547,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17895794,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17896040,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
17995542,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
17995794,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
17996041,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
18005399,00000528,false,Rx,0,6,07,05,01,00,00,00,00,00,
18013379,00000522,false,Rx,0,6,01,07,03,C2,05,00,00,00,
18039623,00000527,false,Rx,0,6,06,0A,12,00,00,00,00,00,
18095544,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18095792,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18096036,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
18128119,00000521,false,Rx,0,6,00,0E,0F,00,00,00,00,00,
18195538,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18195793,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18196038,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
18248920,00000525,false,Rx,0,6,04,05,C2,00,00,00,00,00,
18295539,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18295792,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18296032,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
18309298,00000523,false,Rx,0,6,02,01,F2,FF,FF,FF,00,00,
18387817,00000524,false,Rx,0,6,03,0B,F1,FF,FF,FF,00,00,
18395535,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18395789,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18396035,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18495532,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18495787,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18496032,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18595475,00000526,false,Rx,0,6,05,00,01,00,00,00,00,00,
18595728,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18595975,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18596221,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18643440,00000522,false,Rx,0,6,01,08,F2,C1,05,00,00,00,
18695528,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18695780,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18696028,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18740052,00000521,false,Rx,0,6,00,0F,09,00,00,00,00,00,
18744169,00000528,false,Rx,0,6,07,06,01,00,00,00,00,00,
18760271,00000527,false,Rx,0,6,06,0B,12,00,00,00,00,00,
18795526,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18795779,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18796026,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18895527,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18895780,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18896020,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
18933335,00000525,false,Rx,0,6,04,06,C2,00,00,00,00,00,
18957468,00000523,false,Rx,0,6,02,02,F2,FF,FF,FF,00,00,
18995520,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
18995774,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
18996021,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19054093,00000524,false,Rx,0,6,03,0C,F6,FF,FF,FF,00,00,
19095522,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19095771,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19096019,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19195518,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19195770,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19196018,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19273498,00000522,false,Rx,0,6,01,09,EE,C1,05,00,00,00,
19295520,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19295769,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19296017,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19298012,00000526,false,Rx,0,6,05,01,03,00,00,00,00,00,
19352011,00000521,false,Rx,0,6,00,00,07,00,00,00,00,00,
19395517,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19395766,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19396014,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19480910,00000527,false,Rx,0,6,06,0C,12,00,00,00,00,00,
19483424,00000528,false,Rx,0,6,07,07,01,00,00,00,00,00,
19495514,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19495784,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19496019,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19595509,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19595761,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19596018,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19605653,00000523,false,Rx,0,6,02,03,F1,FF,FF,FF,00,00,
19617749,00000525,false,Rx,0,6,04,07,C3,00,00,00,00,00,
19695509,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19695762,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19696013,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19720398,00000524,false,Rx,0,6,03,0D,F9,FF,FF,FF,00,00,
19795505,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19795756,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
