Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
15096938,00000524,false,Rx,0,6,03,09,DB,FF,FF,FF,00,00,
15100946,00000522,false,Rx,0,6,01,0A,14,B6,05,00,00,00,
15119190,00000528,false,Rx,0,6,07,0D,A6,1E,00,00,00,00,
15155630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15155885,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15156131,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15255630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15255882,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15256128,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15332063,00000521,false,Rx,0,6,00,0A,F5,FF,FF,FF,00,00,
15355630,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15355879,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15356125,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15395948,00000526,false,Rx,0,6,05,0C,07,00,00,00,00,00,
15411812,00000525,false,Rx,0,6,04,09,5E,00,00,00,00,00,
15455629,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15455877,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15456123,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15472407,00000527,false,Rx,0,6,06,03,B8,2A,01,00,00,00,
15500605,00000523,false,Rx,0,6,02,00,F4,FF,FF,FF,00,00,
15555623,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15555874,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15556122,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15655624,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15655870,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15656119,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15732705,00000522,false,Rx,0,6,01,0B,1D,B6,05,00,00,00,
15755624,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15755870,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15756121,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15765018,00000524,false,Rx,0,6,03,0A,EC,FF,FF,FF,00,00,
15855619,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15855865,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15856114,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
15859938,00000528,false,Rx,0,6,07,0E,A6,1E,00,00,00,00,
15945642,00000521,false,Rx,0,6,00,0B,F5,FF,FF,FF,00,00,
15955618,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
15955864,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
15956115,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16055612,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16055864,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16056113,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16098057,00000525,false,Rx,0,6,04,0A,5E,00,00,00,00,00,
16100199,00000526,false,Rx,0,6,05,0D,03,00,00,00,00,00,
16150823,00000523,false,Rx,0,6,02,01,F7,FF,FF,FF,00,00,
16155611,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16155864,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16156119,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16194975,00000527,false,Rx,0,6,06,04,B8,2A,01,00,00,00,
16255609,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16255861,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16256107,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16355607,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16355859,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
