Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9131505,00000521,false,Rx,0,6,00,09,01,FD,FF,FF,00,00,
9226969,00000524,false,Rx,0,6,03,08,ED,FF,FF,FF,00,00,
9303325,00000523,false,Rx,0,6,02,0F,F9,FF,FF,FF,00,00,
9315383,00000525,false,Rx,0,6,04,05,18,01,00,00,00,00,
9327739,00000522,false,Rx,0,6,01,0A,CB,DC,05,00,00,00,
9415970,00000527,false,Rx,0,6,06,09,91,94,00,00,00,00,
9742369,00000521,false,Rx,0,6,00,0A,04,FD,FF,FF,00,00,
9785894,00000526,false,Rx,0,6,05,06,1E,01,00,00,00,00,
9789649,00000528,false,Rx,0,6,07,00,A3,0F,00,00,00,00,
9892075,00000524,false,Rx,0,6,03,09,E5,FF,FF,FF,00,00,
9950332,00000523,false,Rx,0,6,02,00,F9,FF,FF,FF,00,00,
9956343,00000522,false,Rx,0,6,01,0B,D1,DC,05,00,00,00,
9998573,00000525,false,Rx,0,6,04,06,17,01,00,00,00,00,
10135252,00000527,false,Rx,0,6,06,0A,91,94,00,00,00,00,
10353504,00000521,false,Rx,0,6,00,0B,01,FD,FF,FF,00,00,
10487128,00000526,false,Rx,0,6,05,07,28,01,00,00,00,00,
10527097,00000528,false,Rx,0,6,07,01,A3,0F,00,00,00,00,
10557166,00000524,false,Rx,0,6,03,0A,03,00,00,00,00,00,
10585283,00000522,false,Rx,0,6,01,0C,D8,DC,05,00,00,00,
10597344,00000523,false,Rx,0,6,02,01,F6,FF,FF,FF,00,00,
10681752,00000525,false,Rx,0,6,04,07,18,01,00,00,00,00,
10854596,00000527,false,Rx,0,6,06,0B,92,94,00,00,00,00,
10964031,00000521,false,Rx,0,6,00,0C,FE,FC,FF,FF,00,00,
11188230,00000526,false,Rx,0,6,05,08,25,01,00,00,00,00,
11214195,00000522,false,Rx,0,6,01,0D,E9,DC,05,00,00,00,
11222257,00000524,false,Rx,0,6,03,0B,F2,FF,FF,FF,00,00,
11244340,00000523,false,Rx,0,6,02,02,E9,FF,FF,FF,00,00,
11264499,00000528,false,Rx,0,6,07,02,A3,0F,00,00,00,00,
11364927,00000525,false,Rx,0,6,04,08,17,01,00,00,00,00,
11573939,00000527,false,Rx,0,6,06,0C,92,94,00,00,00,00,
11574890,00000521,false,Rx,0,6,00,0D,FD,FC,FF,FF,00,00,
11843114,00000522,false,Rx,0,6,01,0E,D7,DC,05,00,00,00,
11872796,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
11873041,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
11873288,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
11887338,00000524,false,Rx,0,6,03,0C,E7,FF,FF,FF,00,00,
11889708,00000526,false,Rx,0,6,05,09,23,01,00,00,00,00,
11891363,00000523,false,Rx,0,6,02,03,E9,FF,FF,FF,00,00,
11972789,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
11973041,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
11973288,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12001936,00000528,false,Rx,0,6,07,03,A3,0F,00,00,00,00,
12048103,00000525,false,Rx,0,6,04,09,17,01,00,00,00,00,
12072789,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12073034,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12073281,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12172785,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12173038,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12173279,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12185715,00000521,false,Rx,0,6,00,0E,FF,FC,FF,FF,00,00,
12272783,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12273036,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12273282,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12293276,00000527,false,Rx,0,6,06,0D,93,94,00,00,00,00,
12372783,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12373029,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12373275,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12472047,00000522,false,Rx,0,6,01,0F,CA,DC,05,00,00,00,
12472782,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12473031,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12473279,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12538371,00000523,false,Rx,0,6,02,04,F1,FF,FF,FF,00,00,
12552480,00000524,false,Rx,0,6,03,0D,FF,FF,FF,FF,00,00,
12572780,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12573025,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12573274,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12590750,00000526,false,Rx,0,6,05,0A,28,01,00,00,00,00,
12672777,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12673022,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12673272,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12731289,00000525,false,Rx,0,6,04,0A,17,01,00,00,00,00,
12739368,00000528,false,Rx,0,6,07,04,A3,0F,00,00,00,00,
12772770,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12773022,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12773275,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12796554,00000521,false,Rx,0,6,00,0F,F8,FC,FF,FF,00,00,
12872772,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12873024,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12873270,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
12972767,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
12973019,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
12973263,00000102,false,Rx,0,8,00,90,01,00,00,00,64,00,
13012643,00000527,false,Rx,0,6,06,0E,94,94,00,00,00,00,
