Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28092369,00000528,false,Rx,0,6,07,01,A6,1E,00,00,00,00,
28106499,00000527,false,Rx,0,6,06,01,B6,2A,01,00,00,00,
28302010,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28302263,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28302510,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28308283,00000523,false,Rx,0,6,02,05,E4,FF,FF,FF,00,00,
28402006,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28402259,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28402506,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28502004,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28502256,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28502504,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28601998,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28602250,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28602498,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28613429,00000526,false,Rx,0,6,05,05,00,00,00,00,00,00,
28668581,00000521,false,Rx,0,6,00,01,F9,FF,FF,FF,00,00,
28677649,00000522,false,Rx,0,6,01,09,B8,B3,05,00,00,00,
28689782,00000524,false,Rx,0,6,03,06,F1,FF,FF,FF,00,00,
28702002,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28702250,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28702499,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28707964,00000525,false,Rx,0,6,04,0C,5E,00,00,00,00,00,
28801995,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28802247,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28802495,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28829122,00000527,false,Rx,0,6,06,02,B6,2A,01,00,00,00,
28833167,00000528,false,Rx,0,6,07,02,A6,1E,00,00,00,00,
28901995,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
28902259,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
28902501,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
28958282,00000523,false,Rx,0,6,02,06,E4,FF,FF,FF,00,00,
29001993,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29002245,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29002498,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
29101989,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29102241,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29102498,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
29201990,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29202242,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29202492,00000102,false,Rx,0,8,01,90,01,00,00,00,00,00,
29282205,00000521,false,Rx,0,6,00,02,FC,FF,FF,FF,00,00,
29301988,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29302235,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29302495,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29309442,00000522,false,Rx,0,6,01,0A,BC,B3,05,00,00,00,
29317826,00000526,false,Rx,0,6,05,06,05,00,00,00,00,00,
29357915,00000524,false,Rx,0,6,03,07,E7,FF,FF,FF,00,00,
29394253,00000525,false,Rx,0,6,04,0D,5F,00,00,00,00,00,
29401986,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29402239,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29402480,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29501992,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29502231,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29502491,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29551739,00000527,false,Rx,0,6,06,03,B6,2A,01,00,00,00,
29573944,00000528,false,Rx,0,6,07,03,A6,1E,00,00,00,00,
29601980,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29602233,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29602479,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29608213,00000523,false,Rx,0,6,02,07,E2,FF,FF,FF,00,00,
29701979,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29702231,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29702485,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29801977,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29802229,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29802483,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29895826,00000521,false,Rx,0,6,00,03,FA,FF,FF,FF,00,00,
29901975,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
29902223,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
29902483,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
29941245,00000522,false,Rx,0,6,01,0B,C3,B3,05,00,00,00,
30001971,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
30002223,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
30002476,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
30022134,00000526,false,Rx,0,6,05,07,09,00,00,00,00,00,
30026036,00000524,false,Rx,0,6,03,08,F6,FF,FF,FF,00,00,
30080551,00000525,false,Rx,0,6,04,0E,5E,00,00,00,00,00,
